internship_title,internship_company,required_skills,internship_location,required_education
QA Engineer,BAJAJ HOUSING FINANCE LIMITED,"Java, SQL, Python, Machine Learning",Mumbai,M.Sc
Web Developer,EDELWEISS ASSET RECONSTRUCTION COMPANY LIMITED,"SQL, DevOps, Java",Delhi,PhD
Web Developer,SIEMENS LIMITED,"React, SQL",Kolkata,BCA
Civil Engineer,PKC INFRATECH LIMITED,"Estimation, Structural Design, Surveying, Quality Control",Hyderabad,B.Com
Product Manager,IPCA LABORATORIES LIMITED,"Sales, Supply Chain, Retail Management, Brand Management",Ahmedabad,B.Com
Supply Chain Analyst,PARLE BISCUITS PRIVATE LIMITED,"Supply Chain, Marketing, Distribution, Brand Management",Pune,B.Tech
Web Developer,TOYOTA KIRLOSKAR MOTOR PRIVATE LIMITED,"Data Analysis, DevOps",Kolkata,B.Sc
Software Developer,INFOSYS LIMITED,"Python, Data Analysis, JavaScript, Cybersecurity",Delhi,Diploma
Site Engineer,DEEPAK NITRITE LIMITED,"Project Management, Civil Engineering, Safety Management",Lucknow,Diploma
Financial Analyst,MAX LIFE INSURANCE COMPANY LIMITED,"Taxation, Auditing, Investment Banking, Financial Modeling",Chennai,BBA
Web Developer,EDELWEISS ASSET RECONSTRUCTION COMPANY LIMITED,"SQL, DevOps, Java",Delhi,PhD
QA Engineer,HYUNDAI MOTOR INDIA LIMITED,"Machine Learning, SQL, JavaScript, DevOps",Chennai,B.Tech
Cloud Architect,KAJARIA CERAMICS LIMITED,"React, Java, JavaScript, DevOps",Ahmedabad,BBA
Product Manager,ADANI WILMAR LIMITED,"Supply Chain, Marketing, Distribution, Brand Management",Kolkata,B.Tech
Reservoir Engineer,INOX AIR PRODUCTS PRIVATE LIMITED,"Safety Compliance, Field Operations",Bangalore,PhD
Distribution Executive,EMCURE PHARMACEUTICALS LIMITED,"Marketing, Product Development",Ahmedabad,BA
Brand Manager,MAHASHIAN DI HATTI PRIVATE LIMITED,"Marketing, Product Development",Kolkata,PhD
QA Engineer,COGNIZANT TECHNOLOGY SOLUTIONS INDIA PRIVATE LIMITED,"Data Analysis, Python, React",Pune,M.Sc
Construction Manager,G R INFRAPROJECTS LIMITED,"Estimation, Structural Design, Construction Management, Quality Control",Mumbai,B.Tech
Machine Learning Engineer,BAGMANE DEVELOPERS PRIVATE LIMITED,"Cloud Computing, Data Analysis, Python",Kolkata,B.Sc
Procurement Executive,GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED,"Warehouse Operations, Distribution",Mumbai,Diploma
IT Support,WHIRLPOOL OF INDIA LIMITED,"Java, Cloud Computing, Cybersecurity, React",Delhi,BA
Power Plant Operator,NTPC LIMITED,"Electrical Engineering, Grid Management, Transmission",Lucknow,PhD
Distribution Executive,UNITED BREWERIES LIMITED,"Consumer Insights, Brand Management, Retail Management, Marketing",Remote,M.Sc
Software Developer,PNB HOUSING FINANCE LIMITED,"SQL, React",Jaipur,BBA
Supply Chain Analyst,RSPL LIMITED,"Supply Chain, Consumer Insights",Kolkata,B.Tech
Design Engineer,L G ELECTRONICS INDIA PRIVATE LIMITED,"Manufacturing, R&D, Electronics Design",Kolkata,BBA
Treasury Analyst,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,"Wealth Management, Financial Modeling",Mumbai,M.Sc
Retail Manager,GLENMARK PHARMACEUTICALS LIMITED,"Supply Chain, Retail Management, Brand Management, Distribution",Bangalore,BA
Web Developer,DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED,"Machine Learning, JavaScript, SQL",Pune,BBA
Ore Processing Technician,NMDC LIMITED,"Safety Management, Mineral Processing",Kolkata,Diploma
Inventory Analyst,THE GREAT EASTERN SHIPPING COMPANY LIMITED,"Transportation, Procurement",Chennai,BBA
DevOps Engineer,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,"SQL, Machine Learning, DevOps, JavaScript",Remote,B.Com
Loan Officer,DCB BANK LIMITED,"Investment Banking, Accounting, Wealth Management, Financial Modeling",Pune,PhD
Sales Executive,BHARAT BIOTECH INTERNATIONAL LIMITED,"Sales, Retail Management",Chennai,B.Sc
QA Engineer,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED,"DevOps, Machine Learning",Hyderabad,M.Sc
Exploration Geologist,RUNGTA MINES LIMITED,"Surveying, Mining Engineering, Mineral Processing, Geology",Kolkata,B.Tech
Relationship Manager,HDFC BANK LIMITED,"Financial Analysis, Risk Management, Investment Banking",Bangalore,BBA
DevOps Engineer,INFOSYS BPM LIMITED,"SQL, Cloud Computing, Java, JavaScript",Mumbai,M.Sc
Product Manager,ALKEM LABORATORIES LIMITED,"Brand Management, Sales",Delhi,B.Com
Safety Officer,ODISHA MINING CORPORATION LIMITED,"Mineral Processing, Surveying, Exploration, Ore Processing",Hyderabad,B.Tech
Process Engineer,ADANI TOTAL GAS LIMITED,"Pipeline Maintenance, Drilling Operations",Pune,BCA
Civil Engineer,SHREE RAMKRISHNA EXPORTS PRIVATE LIMITED,"Project Management, Structural Design, Safety Management",Bangalore,BA
Distribution Executive,DABUR INDIA LIMITED,"Retail Management, Product Development, Sales",Mumbai,B.Sc
Customer Support Engineer,ATC TELECOM INFRASTRUCTURE PRIVATE LIMITED,"Wireless Communication, Data Transmission, Optical Fiber",Hyderabad,PhD
Sales Executive,GRANULES INDIA LIMITED,"Supply Chain, Distribution, Brand Management, Product Development",Jaipur,BBA
Electronics Engineer,HP INDIA SALES PRIVATE LIMITED,"Electronics Design, Testing",Delhi,PhD
Freight Coordinator,ADANI HAZIRA PORT LIMITED,"Warehouse Operations, Supply Chain Management",Jaipur,B.Sc
Consumer Insights Analyst,ALKEM LABORATORIES LIMITED,"Consumer Insights, Distribution, Brand Management, Retail Management",Pune,Diploma
Ore Processing Technician,THRIVENI EARTHMOVERS PRIVATE LIMITED,"Mining Engineering, Safety Management",Bangalore,B.Com
Mining Engineer,MOIL LIMITED,"Exploration, Mining Engineering",Mumbai,PhD
IT Support,ENDURANCE TECHNOLOGIES LIMITED,"Java, SQL, Python, JavaScript",Kolkata,MBA
Exploration Geologist,JINDAL STEEL & POWER LIMITED,"Exploration, Environmental Compliance, Geology, Surveying",Pune,BBA
Software Developer,MACROTECH DEVELOPERS LIMITED,"Java, Python",Jaipur,BCA
Electrical Engineer,NTPC TAMIL NADU ENERGY COMPANY LIMITED,"Grid Management, Electrical Engineering",Jaipur,PhD
Consumer Insights Analyst,RELIANCE RETAIL LIMITED,"Brand Management, Sales, Consumer Insights",Remote,B.Sc
DevOps Engineer,LTIMINDTREE LIMITED,"React, Java",Remote,Diploma
Product Manager,PIRAMAL PHARMA LIMITED,"Sales, Retail Management, Distribution, Product Development",Pune,B.Sc
Web Developer,INTERNATIONAL TRACTORS LIMITED,"DevOps, React, SQL, Data Analysis",Chennai,BA
Site Engineer,DALMIA CEMENT (BHARAT) LIMITED,"Surveying, Construction Management, Estimation",Jaipur,Diploma
QA Engineer,EICHER MOTORS LIMITED,"Python, JavaScript",Bangalore,BBA
Data Analyst,MICROSOFT INDIA (R&D) PRIVATE LIMITED,"SQL, DevOps",Pune,MBA
Web Developer,COCHIN SHIPYARD LIMITED,"JavaScript, Java, Cloud Computing",Bangalore,Diploma
Site Engineer,LARSEN AND TOUBRO LIMITED,"Civil Engineering, Surveying, Estimation, Safety Management",Bangalore,B.Com
Project Engineer,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,"Structural Design, Project Management",Jaipur,BA
Retail Manager,ITC LIMITED,"Marketing, Sales, Brand Management",Bangalore,MBA
Retail Manager,EMAMI LIMITED,"Brand Management, Marketing",Bangalore,MBA
Data Analyst,INFO EDGE (INDIA) LIMITED,"SQL, Machine Learning, Java, DevOps",Lucknow,BBA
Surveyor,ASHOKA BUILDCON LIMITED,"Safety Management, Surveying",Mumbai,B.Com
Retail Manager,DIVI S LABORATORIES LIMITED,"Brand Management, Product Development, Supply Chain, Marketing",Pune,BA
IT Support,EBIXCASH LIMITED,"Data Analysis, DevOps, JavaScript",Pune,PhD
Power Plant Operator,INDIAN ENERGY EXCHANGE LIMITED,"Electrical Engineering, Renewable Energy",Jaipur,BCA
Ore Processing Technician,ORISSA METALIKS PRIVATE LIMITED,"Ore Processing, Geology",Hyderabad,B.Com
Product Manager,UNITED BREWERIES LIMITED,"Brand Management, Supply Chain",Pune,M.Sc
Process Engineer,OIL AND NATURAL GAS CORPORATION LIMITED,"Field Operations, Safety Compliance, Reservoir Engineering, Petroleum Engineering",Jaipur,PhD
Data Analyst,ACCENTURE SOLUTIONS PRIVATE LIMITED,"Cloud Computing, React",Ahmedabad,M.Sc
Software Developer,MAZAGON DOCK SHIPBUILDERS LIMITED,"Data Analysis, SQL",Mumbai,BCA
DevOps Engineer,AMARA RAJA ENERGY & MOBILITY LIMITED,"React, Python, Cybersecurity, Java",Ahmedabad,PhD
Web Developer,PERSISTENT SYSTEMS LIMITED,"Data Analysis, JavaScript, React",Hyderabad,B.Com
Structural Engineer,K.P.R. MILL LIMITED,"Construction Management, Estimation",Hyderabad,BA
Thermal Engineer,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED,"Transmission, Electrical Engineering",Mumbai,Diploma
IT Support,THE CLEARING CORPORATION OF INDIA LIMITED,"Java, Data Analysis",Delhi,B.Sc
Structural Engineer,SRF LIMITED,"Construction Management, Structural Design, Civil Engineering",Pune,BA
Investment Banker,SBI GENERAL INSURANCE COMPANY LIMITED,"Risk Management, Financial Analysis",Pune,MBA
Design Engineer,THDC INDIA LIMITED,"Power Plant Operations, Thermal Power, Renewable Energy",Delhi,MBA
Retail Manager,GLENMARK PHARMACEUTICALS LIMITED,"Supply Chain, Retail Management, Brand Management, Distribution",Bangalore,BA
Data Analyst,NOKIA SOLUTIONS AND NETWORKS INDIA PRIVATE LIMITED,"RF Engineering, Optical Fiber",Hyderabad,MBA
Product Manager,IPCA LABORATORIES LIMITED,"Sales, Supply Chain, Retail Management, Brand Management",Ahmedabad,B.Com
IT Support,MUSIGMA BUSINESS SOLUTIONS PRIVATE LIMITED,"SQL, DevOps",Remote,M.Sc
Distribution Executive,PROCTER & GAMBLE HOME PRODUCTS PRIVATE LIMITED,"Brand Management, Marketing, Product Development, Distribution",Bangalore,MBA
Exploration Geologist,AIA ENGINEERING LIMITED,"Surveying, Exploration",Hyderabad,BCA
Software Developer,BALKRISHNA INDUSTRIES LIMITED,"Data Analysis, Python",Hyderabad,BA
Data Analyst,SAMMAAN CAPITAL LIMITED,"Cybersecurity, Data Analysis",Lucknow,PhD
Web Developer,CITIGROUP GLOBAL MARKETS INDIA PRIVATE LIMITED,"Cybersecurity, DevOps, Machine Learning, Data Analysis",Lucknow,BCA
Project Engineer,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,"Structural Design, Project Management",Jaipur,BA
Treasury Analyst,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,"Investment Banking, Taxation, Accounting, Loan Processing",Delhi,Diploma
Data Analyst,INFO EDGE (INDIA) LIMITED,"Data Analysis, DevOps, Cybersecurity",Chennai,Diploma
Cloud Architect,M.P. AGROTONICS LIMITED,"Python, React",Delhi,B.Com
Ore Processing Technician,IREL (INDIA) LIMITED,"Geology, Environmental Compliance, Ore Processing, Mineral Processing",Ahmedabad,MBA
Structural Engineer,SRF LIMITED,"Construction Management, Structural Design, Civil Engineering",Pune,BA
Treasury Analyst,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,"Financial Analysis, Auditing, Taxation, Wealth Management",Bangalore,BA
Construction Manager,RASHMI CEMENT LIMITED,"Civil Engineering, Project Management, Safety Management",Pune,B.Com
Field Engineer,NUMALIGARH REFINERY LTD,"Reservoir Engineering, Field Operations",Ahmedabad,PhD
Distribution Executive,PROCTER & GAMBLE HOME PRODUCTS PRIVATE LIMITED,"Brand Management, Marketing, Product Development, Distribution",Bangalore,MBA
Machine Learning Engineer,STAR INDIA PRIVATE LIMITED,"Cybersecurity, React",Mumbai,BA
IT Support,HONEYWELL TECHNOLOGY SOLUTIONS LAB PRIVATE LIMITED,"Java, Cloud Computing, Python",Delhi,B.Tech
Site Engineer,HEIDELBERGCEMENT INDIA LIMITED.,"Quality Control, Safety Management, Structural Design, Project Management",Hyderabad,PhD
IT Support,REDINGTON LIMITED,"DevOps, JavaScript",Delhi,MBA
Network Engineer,INDUS TOWERS LIMITED,"Optical Fiber, Wireless Communication",Lucknow,MBA
Accountant,BAJAJ ALLIANZ LIFE INSURANCE COMPANY LIMITED,"Risk Management, Investment Banking, Taxation",Lucknow,Diploma
Project Engineer,IL&FS TAMIL NADU POWER COMPANY LIMITED,"Power Plant Operations, Energy Efficiency, Grid Management, Renewable Energy",Jaipur,B.Tech
Project Engineer,SHREE RAMKRISHNA EXPORTS PRIVATE LIMITED,"Construction Management, Quality Control, Surveying, Safety Management",Kolkata,Diploma
Treasury Analyst,THE KARNATAKA BANK LIMITED,"Financial Analysis, Loan Processing, Auditing, Financial Modeling",Bangalore,B.Com
Cloud Architect,FINOLEX CABLES LIMITED,"Python, DevOps, SQL, Machine Learning",Lucknow,BBA
DevOps Engineer,ENDURANCE TECHNOLOGIES LIMITED,"Python, Cloud Computing, SQL, Data Analysis",Hyderabad,PhD
Quality Inspector,TAMILNADU POWER FINANCE AND INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED,"Safety Management, Civil Engineering",Mumbai,BBA
Thermal Engineer,TANJORE POWER LIMITED,"Maintenance, Electrical Engineering, Renewable Energy",Kolkata,BCA
Mineral Processing Engineer,JSW STEEL LIMITED,"Mining Engineering, Exploration",Lucknow,PhD
Site Engineer,BHILOSA INDUSTRIES PRIVATE LIMITED,"Project Management, Quality Control, Civil Engineering, Safety Management",Chennai,B.Sc
Consumer Insights Analyst,RELIANCE RETAIL LIMITED,"Brand Management, Sales, Consumer Insights",Remote,B.Sc
Web Developer,J. P. MORGAN SERVICES INDIA PRIVATE LIMITED,"Python, SQL, React",Chennai,B.Sc
Surveyor,TUBE INVESTMENTS OF INDIA LIMITED,"Safety Management, Exploration, Ore Processing, Mineral Processing",Bangalore,BCA
Environmental Officer,INDIAN METALS AND FERRO ALLOYS LTD.,"Geology, Safety Management",Kolkata,MBA
Machine Learning Engineer,PIRAMAL CAPITAL & HOUSING FINANCE LIMITED,"React, SQL",Bangalore,BCA
Product Manager,SUVEN PHARMACEUTICALS LIMITED,"Consumer Insights, Retail Management, Supply Chain",Remote,B.Sc
Software Developer,REC LIMITED,"Machine Learning, Cloud Computing, Python",Mumbai,Diploma
Credit Analyst,THE NEW INDIA ASSURANCE COMPANY LIMITED,"Financial Modeling, Wealth Management, Risk Management, Investment Banking",Jaipur,M.Sc
Sales Executive,TATA CONSUMER PRODUCTS LIMITED,"Brand Management, Marketing, Retail Management, Supply Chain",Hyderabad,PhD
Data Analyst,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,"Python, React",Remote,BBA
Construction Manager,DILIP BUILDCON LIMITED,"Quality Control, Civil Engineering",Kolkata,B.Com
Credit Analyst,SHRIRAM GENERAL INSURANCE COMPANY LIMITED,"Wealth Management, Financial Modeling, Investment Banking",Jaipur,M.Sc
Software Developer,BA CONTINUUM INDIA PRIVATE LIMITED,"Cybersecurity, SQL",Jaipur,BA
Brand Manager,MAHASHIAN DI HATTI PRIVATE LIMITED,"Marketing, Product Development",Kolkata,PhD
IT Support,HERO MOTOCORP LIMITED,"JavaScript, Data Analysis",Remote,MBA
IT Support,EICHER MOTORS LIMITED,"Python, Data Analysis",Chennai,BBA
Mineral Processing Engineer,JSW STEEL LIMITED,"Mining Engineering, Exploration",Lucknow,PhD
QA Engineer,CUMMINS TECHNOLOGIES INDIA PRIVATE LIMITED,"Cloud Computing, JavaScript, Data Analysis",Remote,PhD
QA Engineer,HDB FINANCIAL SERVICES LIMITED,"Java, Python, Machine Learning, Cybersecurity",Kolkata,B.Sc
QA Engineer,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,"DevOps, SQL",Delhi,B.Tech
DevOps Engineer,TAFE MOTORS AND TRACTORS LIMITED,"JavaScript, Cloud Computing",Kolkata,Diploma
IT Support,ZOHO CORPORATION PRIVATE LIMITED,"DevOps, Cybersecurity",Bangalore,MBA
Safety Officer,ODISHA MINING CORPORATION LIMITED,"Mineral Processing, Surveying, Exploration, Ore Processing",Hyderabad,B.Tech
Freight Coordinator,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,"Distribution, Inventory Management, Warehouse Operations",Hyderabad,M.Sc
Treasury Analyst,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,"Financial Analysis, Auditing, Taxation, Wealth Management",Bangalore,BA
Web Developer,PERSISTENT SYSTEMS LIMITED,"Cloud Computing, React, Java, Cybersecurity",Remote,BCA
Web Developer,GRASIM INDUSTRIES LTD,"Python, Data Analysis, Java",Delhi,BBA
Product Manager,ZYDUS LIFESCIENCES LIMITED,"Sales, Marketing",Pune,B.Sc
IT Support,COGNIZANT TECHNOLOGY SOLUTIONS INDIA PRIVATE LIMITED,"Machine Learning, DevOps",Pune,B.Sc
Marketing Executive,DR.REDDY S LABORATORIES LTD,"Supply Chain, Marketing",Jaipur,PhD
Testing Engineer,HINDUSTAN AERONAUTICS LIMITED,"Testing, Circuit Design, PCB Design",Kolkata,BCA
Transportation Specialist,ADANI HARBOUR SERVICES LIMITED,"Supply Chain Management, Warehouse Operations, Transportation",Mumbai,M.Sc
QA Engineer,KOTAK SECURITIES LIMITED,"React, DevOps",Bangalore,Diploma
Geologist,JSW STEEL COATED PRODUCTS LIMITED,"Surveying, Mineral Processing, Ore Processing",Pune,BA
Power Plant Operator,NTPC LIMITED,"Electrical Engineering, Grid Management, Transmission",Lucknow,PhD
Machine Learning Engineer,VOLTAS LIMITED,"Cybersecurity, React",Jaipur,PhD
Safety Officer,MAHANAGAR GAS LIMITED,"Geology, Field Operations, Pipeline Maintenance, Refining",Mumbai,BA
Safety Officer,INDIAN METALS AND FERRO ALLOYS LTD.,"Surveying, Mining Engineering",Remote,BA
Software Developer,APARNA INFRAHOUSING PRIVATE LIMITED (PART IX),"Cloud Computing, Machine Learning, Cybersecurity, Java",Jaipur,M.Sc
Product Manager,GILLETTE INDIA LIMITED,"Supply Chain, Consumer Insights",Remote,BBA
Supply Chain Analyst,RITES LIMITED,"Inventory Management, Logistics Planning, Distribution",Pune,BCA
IT Support,INFOSYS LIMITED,"SQL, DevOps, Cloud Computing, Cybersecurity",Ahmedabad,B.Com
Cloud Architect,EIT SERVICES INDIA PRIVATE LIMITED,"Machine Learning, DevOps, Cybersecurity",Ahmedabad,B.Tech
Reservoir Engineer,INOX AIR PRODUCTS PRIVATE LIMITED,"Safety Compliance, Field Operations",Bangalore,PhD
Ore Processing Technician,MAHANADI COALFIELDS LIMITED,"Exploration, Mineral Processing, Geology",Chennai,Diploma
Data Analyst,BALRAMPUR CHINI MILLS LTD,"SQL, Cloud Computing",Remote,BBA
IT Support,CAN FIN HOMES LIMITED,"JavaScript, SQL, Java",Remote,PhD
IT Support,MUSIGMA BUSINESS SOLUTIONS PRIVATE LIMITED,"SQL, DevOps",Remote,M.Sc
Retail Manager,MANKIND PHARMA LIMITED,"Brand Management, Consumer Insights, Distribution",Jaipur,BBA
Software Developer,SUNDRAM FASTENERS LIMITED,"Machine Learning, JavaScript",Kolkata,M.Sc
Sales Executive,GRANULES INDIA LIMITED,"Supply Chain, Distribution, Brand Management, Product Development",Jaipur,BBA
Distribution Executive,DIVI S LABORATORIES LIMITED,"Supply Chain, Consumer Insights, Brand Management, Sales",Pune,Diploma
Process Engineer,OIL AND NATURAL GAS CORPORATION LIMITED,"Field Operations, Safety Compliance, Reservoir Engineering, Petroleum Engineering",Jaipur,PhD
DevOps Engineer,REDINGTON LIMITED,"Machine Learning, Cybersecurity",Jaipur,PhD
Project Engineer,TATA POWER DELHI DISTRIBUTION LIMITED,"Grid Management, Maintenance, Energy Efficiency",Ahmedabad,MBA
Civil Engineer,NCC LIMITED,"Civil Engineering, Safety Management",Kolkata,BBA
Mining Engineer,THE SINGARENI COLLIERIES COMPANY LIMITED,"Surveying, Geology",Jaipur,BA
DevOps Engineer,BERGER PAINTS INDIA LIMITED,"React, Machine Learning",Jaipur,Diploma
Brand Manager,PATANJALI AYURVED LIMITED,"Supply Chain, Marketing, Distribution",Kolkata,M.Sc
Data Analyst,PIRAMAL CAPITAL & HOUSING FINANCE LIMITED,"React, Python, Cybersecurity",Delhi,Diploma
Web Developer,AMERICAN EXPRESS(INDIA) PRIVATE LIMITED,"DevOps, Cybersecurity, Java",Delhi,Diploma
Transportation Specialist,ADANI HARBOUR SERVICES LIMITED,"Supply Chain Management, Warehouse Operations, Transportation",Mumbai,M.Sc
Exploration Geologist,JINDAL STEEL & POWER LIMITED,"Exploration, Environmental Compliance, Geology, Surveying",Pune,BBA
Supply Chain Analyst,CIPLA LIMITED,"Brand Management, Distribution, Product Development",Remote,M.Sc
Mineral Processing Engineer,UTKAL ALUMINA INTERNATIONAL LIMITED.,"Safety Management, Mineral Processing",Remote,Diploma
Software Developer,TATA MOTORS LIMITED,"SQL, Cloud Computing, Data Analysis",Mumbai,MBA
Cloud Architect,ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LIMITED,"Cloud Computing, React, Cybersecurity",Pune,MBA
Machine Learning Engineer,FINOLEX CABLES LIMITED,"SQL, DevOps",Mumbai,B.Com
Marketing Executive,RELIANCE RETAIL LIMITED,"Product Development, Brand Management",Kolkata,Diploma
Inventory Analyst,THE GREAT EASTERN SHIPPING COMPANY LIMITED,"Transportation, Procurement",Chennai,BBA
Petroleum Engineer,INDIAN OIL CORPORATION LIMITED,"Geology, Drilling Operations",Delhi,BCA
Machine Learning Engineer,KIRAN GEMS PRIVATE LIMITED,"JavaScript, Java, Python",Kolkata,BA
Maintenance Engineer,WINSOL SOLAR FIELDS (POLEPALLY) PRIVATE LIMITED,"Maintenance, Energy Efficiency, Power Plant Operations",Mumbai,BBA
